"","intervention","All.cause.deaths"
"1","Baseline",2167924734.08991
"2","Scenario 1",2157014359.86828
"3","Scenario 2",2130293159.5698
"4","Scenario 3",2119488435.3681
"5","Scenario 4",2088121810.15281
