"","intervention","All.cause.deaths"
"1","Baseline",2198170473.85227
"2","Scenario 1",2182602592.37981
"3","Scenario 2",2161611270.53729
"4","Scenario 3",2152808702.37761
"5","Scenario 4",2139599387.94135
