"","metric","Alt Scenario 1","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5"
"1","Cases.averted",9.4e+07,7e+07,9.8e+07,1.5e+08,2.2e+08,3.7e+08
"2","Deaths.averted",3e+07,2.1e+07,3e+07,4.8e+07,6.7e+07,1.2e+08
