"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",3.8e+07,8.9e+07,1.3e+08,1.5e+08
"2","Deaths.averted",3e+07,6.6e+07,1e+08,1.2e+08
