"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",5.8e+07,1.2e+08,1.8e+08,2.1e+08
"2","Deaths.averted",4e+07,8.3e+07,1.3e+08,1.4e+08
