"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",4.8e+07,1.5e+08,2e+08,3.3e+08
"2","Deaths.averted",1.4e+07,4.6e+07,6.1e+07,1e+08
