"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",3.8e+07,1.3e+08,1.7e+08,2.8e+08
"2","Deaths.averted",1.1e+07,3.8e+07,5.1e+07,8.5e+07
