"","intervention","x50q30"
"1","Business as usual",0.193306782197002
"2","Scenario 1",0.184021140944908
"3","Scenario 2",0.173070993342
"4","Scenario 3",0.14876358491031
"5","Scenario 4",0.132300038991969
