,intervention,All.cause.deaths,
1,Baseline,2225094526,
2,Scenario 1,2201755194,0.010489142
3,Scenario 2,2173380906,0.023241089
4,Scenario 3,2148032627,0.03463309
5,Scenario 4,2137985724,0.03914836
