"","intervention","All.cause.deaths"
"1","Alt Scenario 1",2188869231.7467
"2","Baseline",2212131277.08819
"3","Scenario 1",2196567671.20928
"4","Scenario 2",2188496066.15125
"5","Scenario 3",2174029119.90108
"6","Scenario 4",2159186068.89439
"7","Scenario 5",2123502262.50234
