"","intervention","All.cause.deaths"
"1","Baseline",2227481208.40166
"2","Scenario 1",2204576794.43878
"3","Scenario 2",2195656861.65265
"4","Scenario 3",2178703886.2774
"5","Scenario 4",2161345531.18142
