"","intervention","All.cause.deaths"
"1","Baseline",2167924734.08991
"2","Scenario 1",2159307106.75675
"3","Scenario 2",2136815099.72811
"4","Scenario 3",2127050013.73224
"5","Scenario 4",2100733045.20568
