"location_name","iso3","wb2021","cause","pp_aware","pp_trt","pp_ctrl","pp_initiation","pp_adherence","sp_aware","sp_trt","sp_ctrl","sp_initiation","sp_adherence"
"Afghanistan","AFG","LIC","ihd",0.530227988677882,0.190232143173038,0.061382305065463,0.358774239072856,0.322670522665713,0.667,0.0670842287015331,0.0167710571753833,0.100576055024787,0.25
"Albania","ALB","UMIC","ihd",0.452325961365443,0.173851282965152,0.0448037121773355,0.384349557209461,0.257712864772567,0.667,0.183616377740299,0.0500771939291724,0.275286923148874,0.272727272727273
"Algeria","DZA","LMIC","ihd",0.481151215661976,0.18404217532936,0.0751601828883983,0.382503814473692,0.408385647224026,0.667,0.197687996228043,0.0329479993713405,0.296383802440844,0.166666666666667
"Andorra","AND","HIC","ihd",0.669306064637308,0.422293965193384,0.25360654319655,0.630942983345328,0.600545032843209,0.667,0.583034951546718,0.331269858833363,0.874115369635259,0.568181818181818
"Angola","AGO","LMIC","ihd",0.445495470657047,0.107714670794627,0.0529464328381716,0.241786231037909,0.491543375174227,0.667,0.0919909672171258,0.015331827869521,0.137917492079649,0.166666666666667
"Antigua and Barbuda","ATG","HIC","ihd",0.630296004547304,0.271204811588656,0.126489737787769,0.430281660730886,0.466399312928193,0.667,0.34129214976632,0.193915994185409,0.511682383457751,0.568181818181818
"Argentina","ARG","UMIC","ihd",0.59892934496543,0.225371458780204,0.0819917567752192,0.376290560271701,0.363807188447861,0.667,0.263565162353225,0.0718814079145159,0.395150168445615,0.272727272727273
"Armenia","ARM","UMIC","ihd",0.414942508647467,0.1398870276851,0.0428713219157629,0.337123878054989,0.306471033270296,0.667,0.139339450757074,0.0380016683882928,0.208904723773723,0.272727272727273
"Australia","AUS","HIC","ihd",0.623284129748856,0.333888704498953,0.180145194747625,0.5356926136295,0.539536654940029,0.667,0.474021439436387,0.269330363316129,0.710676820744208,0.568181818181818
"Austria","AUT","HIC","ihd",0.665869387115823,0.381963653308898,0.187109414217371,0.573631496956713,0.489861830036623,0.667,0.514720691517816,0.292454938362396,0.771695189681884,0.568181818181818
