"wbregion","year","measure","scenario","val","Measure","newx"
"Middle East and North Africa",2050,"Stroke","Targeted",1996504.22888794,"Stroke (Targeted)","Middle East and
North Africa"
"North America",2050,"HF","Targeted",797136.973862306,"HF (Targeted)","North America"
"North America",2050,"MI","Targeted",2293172.74566477,"MI (Targeted)","North America"
"North America",2050,"Stroke","Targeted",1602747.49581972,"Stroke (Targeted)","North America"
"South Asia",2050,"HF","Targeted",793321.695217782,"HF (Targeted)","South Asia"
"South Asia",2050,"MI","Targeted",9785919.75042662,"MI (Targeted)","South Asia"
"South Asia",2050,"Stroke","Targeted",5152788.87815475,"Stroke (Targeted)","South Asia"
"Sub-Saharan Africa",2050,"HF","Targeted",287461.812146484,"HF (Targeted)","Sub-Saharan Africa"
"Sub-Saharan Africa",2050,"MI","Targeted",3137587.53455568,"MI (Targeted)","Sub-Saharan Africa"
"Sub-Saharan Africa",2050,"Stroke","Targeted",1729673.16042914,"Stroke (Targeted)","Sub-Saharan Africa"
"East Asia and Pacific",2040,"HF","Population",762657.807775651,"HF (Population)","East Asia and
Pacific"
"East Asia and Pacific",2040,"MI","Population",2945371.01890985,"MI (Population)","East Asia and
Pacific"
"East Asia and Pacific",2040,"Stroke","Population",2552059.94322533,"Stroke (Population)","East Asia and
Pacific"
"Europe and Central Asia",2040,"HF","Population",803376.867244869,"HF (Population)","Europe and Central
Asia"
"Europe and Central Asia",2040,"MI","Population",2571216.50381483,"MI (Population)","Europe and Central
Asia"
"Europe and Central Asia",2040,"Stroke","Population",1956574.2085787,"Stroke (Population)","Europe and Central
Asia"
"Latin America and the Caribbean",2040,"HF","Population",128064.926048648,"HF (Population)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2040,"MI","Population",432089.982903421,"MI (Population)","Latin America and
the Caribbean"
"Latin America and the Caribbean",2040,"Stroke","Population",417931.415846057,"Stroke (Population)","Latin America and
the Caribbean"
"Middle East and North Africa",2040,"HF","Population",125360.271253797,"HF (Population)","Middle East and
North Africa"
"Middle East and North Africa",2040,"MI","Population",775034.612814962,"MI (Population)","Middle East and
North Africa"
"Middle East and North Africa",2040,"Stroke","Population",465001.176249697,"Stroke (Population)","Middle East and
North Africa"
"North America",2040,"HF","Population",507831.792333169,"HF (Population)","North America"
"North America",2040,"MI","Population",1460910.81425822,"MI (Population)","North America"
"North America",2040,"Stroke","Population",1021061.82519169,"Stroke (Population)","North America"
"South Asia",2040,"HF","Population",165646.72410914,"HF (Population)","South Asia"
"South Asia",2040,"MI","Population",2043323.6597067,"MI (Population)","South Asia"
"South Asia",2040,"Stroke","Population",1075912.96031475,"Stroke (Population)","South Asia"
"Sub-Saharan Africa",2040,"HF","Population",44635.4320537322,"HF (Population)","Sub-Saharan Africa"
"Sub-Saharan Africa",2040,"MI","Population",451244.522058642,"MI (Population)","Sub-Saharan Africa"
"Sub-Saharan Africa",2040,"Stroke","Population",256448.476301579,"Stroke (Population)","Sub-Saharan Africa"
"East Asia and Pacific",2045,"HF","Population",1322229.61049147,"HF (Population)","East Asia and
Pacific"
"East Asia and Pacific",2045,"MI","Population",5326897.68043082,"MI (Population)","East Asia and
Pacific"
"East Asia and Pacific",2045,"Stroke","Population",4576526.7886631,"Stroke (Population)","East Asia and
Pacific"
"Europe and Central Asia",2045,"HF","Population",1193229.70092825,"HF (Population)","Europe and Central
Asia"
