"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",6.9e+07,9.9e+07,1.5e+08,2e+08
"2","Deaths.averted",3e+07,4e+07,6.2e+07,8.4e+07
