"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",3.5e+07,1.1e+08,1.5e+08,2.5e+08
"2","Deaths.averted",1.4e+07,4.6e+07,6.1e+07,1e+08
