"","year","intervention","x50q30"
"128",2042,"Scenario 2",0.176714269630463
"129",2042,"Scenario 3",0.170495401666012
"130",2042,"Scenario 4",0.154086760095831
"131",2043,"Business as usual",0.196141544183204
"132",2043,"Scenario 1",0.190135817303179
"133",2043,"Scenario 2",0.17607856457366
"134",2043,"Scenario 3",0.169682328310032
"135",2043,"Scenario 4",0.15230959950338
"136",2044,"Business as usual",0.196892274592968
"137",2044,"Scenario 1",0.19052330857595
"138",2044,"Scenario 2",0.175312626833292
"139",2044,"Scenario 3",0.168795360489622
"140",2044,"Scenario 4",0.150471439632182
"141",2045,"Business as usual",0.197582641140543
"142",2045,"Scenario 1",0.19085165824668
"143",2045,"Scenario 2",0.174449368845729
"144",2045,"Scenario 3",0.167846601981633
"145",2045,"Scenario 4",0.148596604776042
"146",2046,"Business as usual",0.19818237968114
"147",2046,"Scenario 1",0.191112016602718
"148",2046,"Scenario 2",0.173501228723492
"149",2046,"Scenario 3",0.166838409666996
"150",2046,"Scenario 4",0.146707856665429
"151",2047,"Business as usual",0.198868100661872
"152",2047,"Scenario 1",0.191475534083143
"153",2047,"Scenario 2",0.172646668619075
"154",2047,"Scenario 3",0.165891711080933
"155",2047,"Scenario 4",0.144902156432322
"156",2048,"Business as usual",0.199570999998721
"157",2048,"Scenario 1",0.191892304047867
"158",2048,"Scenario 2",0.171832050893034
"159",2048,"Scenario 3",0.165028424834934
"160",2048,"Scenario 4",0.14325285899048
"161",2049,"Business as usual",0.200270435348292
"162",2049,"Scenario 1",0.192341905011385
"163",2049,"Scenario 2",0.171046686974749
"164",2049,"Scenario 3",0.164220748268228
"165",2049,"Scenario 4",0.141718325578831
"166",2050,"Business as usual",0.200931542968896
"167",2050,"Scenario 1",0.192850522708462
"168",2050,"Scenario 2",0.170385179882201
"169",2050,"Scenario 3",0.163505332096475
"170",2050,"Scenario 4",0.140370791927773
