"","year","intervention","x50q30"
"124",2047,"Scenario 5",0.129437560024824
"125",2048,"Alt Scenario 1",0.170223566073382
"126",2048,"Business as usual",0.188299246551835
"127",2048,"Scenario 4",0.14851257457085
"128",2048,"Scenario 5",0.129546769219425
"129",2049,"Alt Scenario 1",0.169635183904337
"130",2049,"Business as usual",0.188499174568166
"131",2049,"Scenario 4",0.147024577017915
"132",2049,"Scenario 5",0.129720869292674
"133",2050,"Alt Scenario 1",0.169059575905757
"134",2050,"Business as usual",0.188654557517811
"135",2050,"Scenario 4",0.145526407162635
"136",2050,"Scenario 5",0.12991660315874
