"","year","intervention","x50q30"
"128",2042,"Scenario 2",0.179869375228884
"129",2042,"Scenario 3",0.174235744626552
"130",2042,"Scenario 4",0.16008322968696
"131",2043,"Business as usual",0.196141544183204
"132",2043,"Scenario 1",0.191405590090921
"133",2043,"Scenario 2",0.179478196288276
"134",2043,"Scenario 3",0.173676111227225
"135",2043,"Scenario 4",0.15872448836512
"136",2044,"Business as usual",0.196892274592968
"137",2044,"Scenario 1",0.191866201191053
"138",2044,"Scenario 2",0.178963690183836
"139",2044,"Scenario 3",0.173045376866987
"140",2044,"Scenario 4",0.157311630473217
"141",2045,"Business as usual",0.197582641140543
"142",2045,"Scenario 1",0.192269073869641
"143",2045,"Scenario 2",0.17835953552887
"144",2045,"Scenario 3",0.172358284825364
"145",2045,"Scenario 4",0.155871127598434
"146",2046,"Business as usual",0.19818237968114
"147",2046,"Scenario 1",0.192603805136968
"148",2046,"Scenario 2",0.177673819712175
"149",2046,"Scenario 3",0.171613969540797
"150",2046,"Scenario 4",0.154418454137245
"151",2047,"Business as usual",0.198868100661872
"152",2047,"Scenario 1",0.193039027726134
"153",2047,"Scenario 2",0.177082031099645
"154",2047,"Scenario 3",0.170937153894341
"155",2047,"Scenario 4",0.153057475586812
"156",2048,"Business as usual",0.199570999998721
"157",2048,"Scenario 1",0.193523607244694
"158",2048,"Scenario 2",0.176528676128609
"159",2048,"Scenario 3",0.170339074755989
"160",2048,"Scenario 4",0.15186361768873
"161",2049,"Business as usual",0.200270435348292
"162",2049,"Scenario 1",0.194036790731476
"163",2049,"Scenario 2",0.176001402903113
"164",2049,"Scenario 3",0.169792494971106
"165",2049,"Scenario 4",0.150803474495446
"166",2050,"Business as usual",0.200931542968896
"167",2050,"Scenario 1",0.194592403246066
"168",2050,"Scenario 2",0.175572487031753
"169",2050,"Scenario 3",0.169319378966211
"170",2050,"Scenario 4",0.149925483196151
