"","year","intervention","x50q30"
"124",2047,"Scenario 5",0.116592617885431
"125",2048,"Alt Scenario 1",0.164257208925611
"126",2048,"Business as usual",0.188299246551835
"127",2048,"Scenario 4",0.13898132877488
"128",2048,"Scenario 5",0.116496598500997
"129",2049,"Alt Scenario 1",0.16340091451577
"130",2049,"Business as usual",0.188499174568166
"131",2049,"Scenario 4",0.137098789288059
"132",2049,"Scenario 5",0.116484343397348
"133",2050,"Alt Scenario 1",0.162561063677211
"134",2050,"Business as usual",0.188654557517811
"135",2050,"Scenario 4",0.135214545440525
"136",2050,"Scenario 5",0.11651466780926
