"","intervention","All.cause.deaths"
"1","Baseline",2210631743.70723
"2","Scenario 1",2195042439.17265
"3","Scenario 2",2186884723.79518
"4","Scenario 3",2157721539.09123
"5","Scenario 4",2122037732.69918
