"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",9e+07,1.3e+08,2.6e+08,4.4e+08
"2","Deaths.averted",3e+07,4.1e+07,8.5e+07,1.4e+08
