"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",5.9e+07,9.2e+07,2e+08,3.5e+08
"2","Deaths.averted",2.1e+07,3e+07,6.7e+07,1.2e+08
