"","metric","Alt Scenario 1","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5"
"1","Cases.averted",1.3e+08,1e+08,1.3e+08,2e+08,2.7e+08,4.6e+08
"2","Deaths.averted",4e+07,3e+07,4.1e+07,6.2e+07,8.5e+07,1.4e+08
