"","intervention","All.cause.deaths"
"1","Alt Scenario 1",2180548294.10846
"2","Baseline",2212131277.08819
"3","Scenario 1",2189093385.02379
"4","Scenario 2",2180059878.15718
"5","Scenario 3",2162973019.63505
"6","Scenario 4",2145477273.10806
"7","Scenario 5",2102570118.64264
