"location_name","iso3","pp_cov","sp_cov","cause"
"Lao People's Democratic Republic","LAO",0.0634629923429875,0.0184104023212195,"ihd"
"Latvia","LVA",0.101341288761995,0.211860964770366,"ihd"
"Lebanon","LBN",0.138822205024589,0.0740852311479229,"ihd"
"Lesotho","LSO",0.0777356124045921,0.0137822450741485,"ihd"
"Liberia","LBR",0.0356370452712173,0.00676014065595127,"ihd"
"Libya","LBY",0.0496887062241171,0.0439171768740048,"ihd"
"Lithuania","LTU",0.0787041879954061,0.211195427585512,"ihd"
"Luxembourg","LUX",0.23878951347243,0.337702948039663,"ihd"
"Madagascar","MDG",0.0257934108946533,0.00622791257849057,"ihd"
"Malawi","MWI",0.0388957295740578,0.00624761335222234,"ihd"
"Malaysia","MYS",0.103607309782574,0.0857792156310814,"ihd"
"Maldives","MDV",0.066143193799407,0.047244244622769,"ihd"
"Mali","MLI",0.0597628739652175,0.0125779733833598,"ihd"
"Malta","MLT",0.301527026947567,0.308828351710727,"ihd"
"Marshall Islands","MHL",0.0659387191713673,0.0214057865693732,"ihd"
"Mauritania","MRT",0.0462724593455474,0.0105473295364703,"ihd"
"Mauritius","MUS",0.193023012101698,0.104308920251673,"ihd"
"Mexico","MEX",0.14219132820244,0.0792006250468687,"ihd"
"Micronesia (Federated States of)","FSM",0.0622999561621917,0.0115229818183984,"ihd"
"Mongolia","MNG",0.124187552176284,0.0403547952878947,"ihd"
"Montenegro","MNE",0.127516882937218,0.0887783304059305,"ihd"
"Morocco","MAR",0.0472875062084697,0.02134995163934,"ihd"
"Mozambique","MOZ",0.0299171707026478,0.0054388671128153,"ihd"
"Myanmar","MMR",0.0677357503773197,0.0181379941799359,"ihd"
"Namibia","NAM",0.0939284801483466,0.0507434243340377,"ihd"
"Nepal","NPL",0.0318386092873797,0.00699265619737065,"ihd"
"Netherlands","NLD",0.159218788356148,0.2640150674926,"ihd"
"New Zealand","NZL",0.184285042609214,0.252261264757418,"ihd"
"Nicaragua","NIC",0.154782662576192,0.0285863433922672,"ihd"
"Niger","NER",0.0254217281314547,0.00461566844424815,"ihd"
"Nigeria","NGA",0.0488819163679961,0.015614912496911,"ihd"
"North Macedonia","MKD",0.121600909310649,0.0782941681650374,"ihd"
"Norway","NOR",0.211799559279054,0.303711544168896,"ihd"
"Oman","OMN",0.0703068459950444,0.171189260718336,"ihd"
