"location_name","iso3","pp_cov","sp_cov"
"Afghanistan","AFG",0.046141242390885,0.0167710571753833
"Albania","ALB",0.0353317180151605,0.0500771939291724
"Algeria","DZA",0.0596534105501924,0.0329479993713405
"Andorra","AND",0.225258506321777,0.331269858833363
"Angola","AGO",0.0399906249592566,0.015331827869521
"Antigua and Barbuda","ATG",0.106338319726171,0.193915994185409
"Argentina","ARG",0.0669194277930817,0.0718814079145159
"Armenia","ARM",0.0331158886302986,0.0380016683882928
"Australia","AUS",0.155754763714412,0.269330363316129
"Austria","AUT",0.165493928312863,0.292454938362396
"Azerbaijan","AZE",0.0541243931609932,0.0622727721965557
"Bahamas","BHS",0.109864987484436,0.224299695682332
"Bahrain","BHR",0.0908128435821241,0.210233975964736
"Bangladesh","BGD",0.0493515171513249,0.0148822950027331
"Barbados","BRB",0.160229601604542,0.198116694739459
"Belarus","BLR",0.0426545854073907,0.0657188230711827
"Belgium","BEL",0.237581954423061,0.304868490674748
"Belize","BLZ",0.0786007220559149,0.0289364346786051
"Benin","BEN",0.0294325316662367,0.00769875295685282
"Bhutan","BTN",0.030366567120135,0.0188079376328145
"Bolivia (Plurinational State of)","BOL",0.0980989579505088,0.027381997563617
"Bosnia and Herzegovina","BIH",0.0723846631635423,0.0694571400627424
"Botswana","BWA",0.0673226519593412,0.0594534591486857
"Brazil","BRA",0.1504200052897,0.0900424870380764
"Brunei Darussalam","BRN",0.181261371184458,0.312375270941003
"Bulgaria","BGR",0.110915986636216,0.0937082626393762
"Burkina Faso","BFA",0.0250795539302874,0.0080980299104588
"Burundi","BDI",0.0326974404560487,0.00528303360828832
"Cabo Verde","CPV",0.046311250966808,0.0206344492396307
"Cambodia","KHM",0.0707449187921246,0.0142835590505982
"Cameroon","CMR",0.0220250324718327,0.00823739858868289
"Canada","CAN",0.405589329934338,0.350444929887917
"Central African Republic","CAF",0.017643717846922,0.00435834102139148
"Chad","TCD",0.0348497224466279,0.0108959518883349
"Chile","CHL",0.167539126552848,0.226186035001864
"China","CHN",0.06618656489887,0.0620425702694549
"Colombia","COL",0.138007390562903,0.076182581480699
"Comoros","COM",0.0335760742139928,0.00605951833410335
"Congo","COG",0.0309989763332118,0.0131873989162825
