"","wb_region","MI_ratio","stroke_ratio","HF_ratio"
"1","East Asia and Pacific",1.12543016326083,2.90542216902986,0.227646039187854
"2","Europe and Central Asia",1.50545005760972,1.29185139405826,0.622600500089981
"3","Latin America & the Caribbean",1.3704954530856,0.889862252578433,0.396057954932011
"4","Middle East and North Africa",2.10533568531512,0.841734121448897,0.214370262718976
"5","North America",4.03125,2.15625,1.0625
"6","South Asia",1.04841770876214,0.489626768159029,0.0552269646218071
"7","Sub-Saharan Africa",0.209150872533197,0.426908089043168,0.194197822165626
