"","metric","Scenario 1","Scenario 2","Scenario 3","Scenario 4"
"1","Cases.averted",5.2e+07,6.6e+07,1.5e+08,2.3e+08
"2","Deaths.averted",2.7e+07,3.6e+07,7.6e+07,1.2e+08
